Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298469869992,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298469469942,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298469080888,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298468683827,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298468285755,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298467876771,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298467472752,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298467074504,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298466690648,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298466288534,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298465915530,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298465515428,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298465101391,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298464698438,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298464306306,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298463920296,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298463522494,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298463110197,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298462707198,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298462323943,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298461896097,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298461490071,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298461085962,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298460699978,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298460297848,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298459899847,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298459504853,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298459098836,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298458713767,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298458324902,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298457932868,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298457548875,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298457143692,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298456751859,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298456360737,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298455960836,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298455578797,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298455209775,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298454815935,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298454423575,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298454045837,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298453636826,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298453248741,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298452854750,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298452460746,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298452069583,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298451676742,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298451283635,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298450889741,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298450489736,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298450109662,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298449714718,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298449320723,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298448919733,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298448528721,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298448139621,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298447730632,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298447325663,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298446945595,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298446550648,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298446164630,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298445774626,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298445384608,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298445016643,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298444619441,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298444228678,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298443840615,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298443436666,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298443029603,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298442641621,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298442244633,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298441856611,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298441465608,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298441078534,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298440695509,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298440315682,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298439928660,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298439521666,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298439133648,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298438720749,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298438341007,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298437948860,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298437553502,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298437164920,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298436773767,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298436379975,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298435972006,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298435582010,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298435191093,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298434775095,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298434375112,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298433964066,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298433581188,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298433192097,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298432785268,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298432402256,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298432017358,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298431642354,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298431246342,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298430837428,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298430406422,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298430011426,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298429631424,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298429237393,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298428856399,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298428455389,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298428070266,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298427687290,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298427300145,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298426902158,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298426491172,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298426061040,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298425666897,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298425266944,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298424878878,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298424499937,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298424103698,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298423724833,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298423333599,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298422950710,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298422548692,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298422130579,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298421739583,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298421341490,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298420968477,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298420578636,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298420190359,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298419801366,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298419408346,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298419035320,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298418645293,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298418241219,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298417853290,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298417428271,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298417028224,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298416634226,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298416236240,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298415808173,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298415408223,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298415020191,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
