Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298492860298,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298492466962,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298492456206,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298492066970,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298492056201,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298491631845,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298491621114,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298491215840,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298491206103,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298490798826,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298490791103,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298490394668,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298490386002,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298489976708,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298489966001,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298489554743,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298489546029,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298489139754,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298489131025,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298488721680,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298488710967,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298488307678,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298488295965,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298487901660,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298487890971,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298487492656,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298487480963,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298487060579,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298487050964,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298486645646,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298486635971,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298486226650,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298486215961,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298485786658,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298485775967,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298485385684,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298485376009,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298484959703,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298484951008,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298484546599,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298484535946,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298484132511,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298484120935,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298483739615,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298483730968,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
